key word,questions
AI,What is AI?
Artificial Intelligence,What is Artificial Intelligence?
Intelligence,What is Intelligence?
Turing Test,What is Turing Test?
Strong AI,What is Strong AI?
Weak AI,What is Weak AI?
Agents,What is Agents?
Rationality,What is Rationality?
Omniscience Agent,What is Omniscience Agent?
Rational Agent,What is Rational Agent?
PEAS,What is PEAS?
Fully Observable,What is Fully Observable?
Partially observable,What is Partially observable?
Single Agent,What is Single Agent?
Multiagent,What is Multiagent?
Deterministic,What is Deterministic?
Stochastic,What is Stochastic?
Episodic,What is Episodic?
Sequential,What is Sequential?
Static,What is Static?
Dynamic,What is Dynamic?
Discrete,What is Discrete?
Continous,What is Continous?
Known,What is Known?
Unknown,What is Unknown?
State,What is State?
State Space,What is State Space?
Search,What is Search?
State space search,What is State space search?
Graph,What is Graph?
Path,What is Path?
Cycle,What is Cycle?
State space,What is State space?
Problem space,What is Problem space?
"Priority queue,From queue","What is Priority queue,From queue?"
FIFO queue,What is FIFO queue?
LIFO queue,What is LIFO queue?
Completeness,What is Completeness?
Optimality,What is Optimality?
Time complexity,What is Time complexity?
Space complexity,What is Space complexity?
Branching Factor,What is Branching Factor?
Uniformed search,What is Uniformed search?
Breadth-first search,What is Breadth-first search?
Depth-first search,What is Depth-first search?
Depth-limited search,What is Depth-limited search?
Iterative-deepening search,What is Iterative-deepening search?
Uniform-cost search,What is Uniform-cost search?
Heuristics,What is Heuristics?
Greedy Best-First Search,What is Greedy Best-First Search?
A* Search,What is A* Search?
A* Search,A*
Search,Sear
Admissible,What is Admissible?
Syntax,What is Syntax?
Semantics,What is Semantics?
Knownledgebase,What is Knownledgebase?
Ethics,What is Ethics?
Statistical parity,What is Statistical parity?
Equality of false negatives,What is Equality of false negatives?
De-identification,What is De-identification?
Data Swapping,What is Data Swapping?
Randomization,What is Randomization?
Generalization,What is Generalization?
Suppression,What is Suppression?
Conditional Probability,What is Conditional Probability?
Machine Learning,What is Machine Learning?
Supervised Learning,What is Supervised Learning?
Unsupervised Learning,What is Unsupervised Learning?
Semi-supervised Learning,What is Semi-supervised Learning?
Reinforcement Learning,What is Reinforcement Learning?
Batch Learning,What is Batch Learning?
Instance-based Learning,What is Instance-based Learning?
Model-based Learning,What is Model-based Learning?
Decision Tree,What is Decision Tree?
Clustering,What is Clustering?
Recommendation systems,What is Recommendation systems?
Artificial Neuron,What is Artificial Neuron?
Articifial Neural Network,What is Articifial Neural Network?
Convolutional Neural Network,What is Convolutional Neural Network?
Spatial Information,What is Spatial Information?
Convolution,What is Convolution?
AI,AI
Artificial Intelligence,Artificial Intelligence
Intelligence,Intelligence
Turing Test,Turing Test
Strong AI,Strong AI
Weak AI,Weak AI
Agents,Agents
Rationality,Rationality
