Key Word,Definition
AI,"The study and design of intelligent agents where an intelligent agent is a system that perceives its environment and takes actions that maximize its chances of success."
Artificial Intelligence,"The study and design of intelligent agents where an intelligent agent is a system that perceives its environment and takes actions that maximize its chances of success."
Intelligence,"There is no precise definition of Intelligence, but some of the capabilities are learning, recognition, understanding, reasoning, imagination or abstract thinking, creativity, communication, planning, decision making, and problem solving."
Turing Test,"The Turing Test measures the performance of an intelligent machine against that of a human being through the imitation game."
Strong AI,"Artificial intelligence with general intelligence."
Weak AI,"Artificial intelligence with specific intelligent abilities."
Agents,"An agent can be anything that can be viewed as perceiving its environment through sensors and acting upon that environment through actuators."
Rationality,"It is a fixed performance measure which evaluates the environment sequence. It depends on performance measure, agent's prior knowledge of the environment, actions that the agent can perform, and agent's percept sequence to date."
Omniscience Agent,"Omniscience Agent knows the actual outcome of its actions and can act accordingly."
Rational Agent,"Rational agent maximizes the outcome through exploration, learning (through sensors), and autonomy (prediction for efficiency)."
PEAS,"Performance, Environment, Actuators, and Sensors."
Fully Observable,"When the agent has access to complete and accurate information about the state of the environment at any given time."
Partially observable,"When the agent does not have access to complete information about the state of the environment."
Single Agent,"Agent operates autonomously and independently in an environment."
Multiagent,"Environment involves multiple AI agents that interact and collaborate or compete with each other in a shared environment."
Deterministic,"The next state of the environment is completely determined by the current state and the action executed by the agent(s)."
Stochastic,"The future state is not uniquely determined by the current state and inputs. There exists uncertainty."
Episodic,"Agent's actions and decisions are independent of each other."
Sequential,"Agent's actions and decisions are influenced by previous actions and events."
Static,"The state of the system do not change over time."
Dynamic,"The state or properties of the system can change due to various factors."
Discrete,"Variables or states can take on a finite or countable set of distinct values."
Continous,"Variables or states can take on an infinite number of values within a range or interval."
Known,"The outcomes for all actions are given, i.e., the rules of the game are known."
Unknown,"The agent will have to learn how it works in an environment."
State,"A state is a representation for a problem solving step that involves available information and methods. A state captures only the features of a problem essential to solve it."
State Space,"The state space of a problem is set of all possible states."
Search,"A search is an algorithm for exploring the state space."
State space search,"State space search as a general problem solving strategy is based on a strategy used by humans to solve difficult problems or almost all problems if resources and time are unlimited!"
Graph,"A graph consist of a set of [nodes,vertexes,vertices] and [arcs,edges]"
Path,"Path is a sequence of edges which begins with a vertex and end with a vertex."
Cycle,"Cycle is a path that begins and ends with the same vertex."
State space,"State space is a set of states representing the possible configurations of the world."
Problem space,"Problem space is a graph where the states are the nodes and the edges represent the operators."
"Priority queue,From queue","Node is popped based on their priority."
FIFO queue,"First-In, First-Out. Node that is inserted first will be popped first. Preserves the order of insertion."
LIFO queue,"Last-In, First-Out. Node that is inserted last will be popped first. Reverses the order of insertion."
Completeness,"Does it always find a solution if one exists?"
Optimality,"Does it always find a least-cost solution?"
Time complexity,"Number of nodes generated/expanded."
Space complexity,"Maximum number of nodes in memory."
Branching Factor,"Branching factor is used to measure how many moves you can do in a given position."
Uniformed search,"Uniformed search does not have any prior knowledge about how close a state is to the goal. It is useful when the problem domain lacks additional information or heuristics to guide the search process. However, it can be inefficient in complex search spaces since it does not exploit any domain-specific knowledge to guide the search direction."
Breadth-first search,"BFS expands the shallowest node."
